RANK,NAME,OPENING ROUND,ROUND 1,ROUND 2,ROUND 3,ROUND 3 MARGIN,TOTAL SCORE,TOTAL MARGIN,ROUND 4 - ROUND 17
1,AndyT23,2,8,7,5,25,22,95,74
2,George/MikeH,3,8,6,4,26,21,64,74
3,Adam Slimming,2,8,6,5,27,21,65,71
4,Anthony Corbo,3,7,7,4,26,21,74,71
5,Master Chapman,2,7,8,4,50,21,132,67
6,CANT1053,2,6,7,5,31,20,81,73
7,Lee Blucher,3,7,6,4,31,20,109,71
8,DemocracyManifestt,2,8,5,5,38,20,111,80
9,jza_,1,8,6,5,20,20,113,74
10,Benjamin Britten,3,6,6,4,24,19,70,75
11,PVAnotC,3,6,6,4,26,19,74,70
12,Sarah Amadio,3,7,5,4,38,19,81,73
13,BenSlimming,3,7,5,4,34,19,96,76
14,Pelle CT,1,6,7,4,26,18,61,77
15,Schulta,1,4,7,6,10,18,66,80
16,Wonderbread,2,7,5,4,28,18,90,79
17,DanGusto,2,7,5,4,31,18,91,73
18,PoTaito,2,6,6,4,35,18,102,74
19,Tamko,1,7,6,4,37,18,109,71
20,Craig Keogh,2,4,7,5,18,18,122,67
21,Aurizn-AI-COE-bot,2,7,5,4,45,18,152,76
22,Spirit Phoenix,2,6,5,4,40,17,116,71
23,GinbeysAndTs,2,4,6,4,30,16,82,69
24,Riley Galbraith,2,5,5,4,49,16,84,68
