RANK,NAME,OPENING ROUND,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 8 MARGIN,TOTAL SCORE,TOTAL MARGIN,ROUND 9 - ROUND 17
1,George/MikeH,3,8,6,4,9,4,4,9,5,36,52,240,43
2,DemocracyManifestt,2,8,5,5,9,4,5,8,5,41,51,267,49
3,jza_,1,8,6,5,8,4,5,7,7,55,51,275,43
4,Adam Slimming,2,8,6,5,8,4,4,8,5,40,50,232,42
5,Lee Blucher,3,7,6,4,9,4,4,9,4,39,50,260,41
6,BenSlimming,3,7,5,4,8,4,4,9,5,27,49,246,46
7,Wonderbread,2,7,5,4,8,5,5,7,6,30,49,248,48
8,Anthony Corbo,3,7,7,4,8,4,3,8,4,36,48,238,44
9,Benjamin Britten,3,6,6,4,8,4,5,8,4,43,48,247,46
10,Sarah Amadio,3,7,5,4,8,4,4,7,6,38,48,257,44
11,AndyT23,2,8,7,5,8,4,3,7,4,44,48,269,48
12,Aurizn-AI-COE-bot,2,7,5,4,9,4,4,8,5,55,48,317,46
13,PVAnotC,3,6,6,4,8,4,2,9,5,36,47,232,42
14,PoTaito,2,6,6,4,9,4,3,9,4,39,47,274,45
15,DanGusto,2,7,5,4,9,4,2,9,5,41,47,276,44
16,Tamko,1,7,6,4,9,4,3,8,5,44,47,277,42
17,Master Chapman,2,7,8,4,7,5,2,8,4,16,47,304,41
18,Pelle CT,1,6,7,4,9,5,3,7,4,36,46,225,49
19,Schulta,1,4,7,6,7,4,3,8,6,30,46,226,52
20,CANT1053,2,6,7,5,7,4,3,8,4,44,46,268,47
21,Craig Keogh,2,4,7,5,9,4,5,5,4,37,45,340,40
22,Spirit Phoenix,2,6,5,4,7,5,4,8,3,40,44,258,44
23,Riley Galbraith,2,5,5,4,7,5,4,4,6,22,42,237,42
24,GinbeysAndTs,2,4,6,4,7,5,2,8,2,35,40,247,45
