RANK,NAME,OPENING ROUND,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 15,ROUND 16,ROUND 17,ROUND 18,ROUND 19,ROUND 20,ROUND 21,ROUND 21 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,Wonderbread,2,7,5,4,8,5,5,7,6,5,7,6,6,4,6,6,4,4,7,7,6,5,28,122,581
2,DemocracyManifestt,2,8,5,5,9,4,5,8,5,6,6,7,5,3,5,5,7,5,4,7,5,6,32,122,596
3,Schulta,1,4,7,6,7,4,3,8,6,6,5,6,6,5,6,6,6,6,7,6,5,5,31,121,559
4,BenSlimming,3,7,5,4,8,4,4,9,5,6,6,7,2,2,6,5,7,5,6,6,6,8,42,121,611
5,George/MikeH,3,8,6,4,9,4,4,9,5,5,6,7,2,4,5,5,4,5,6,7,6,6,45,120,558
6,AndyT23,2,8,7,5,8,4,3,7,4,6,7,6,4,5,4,5,6,5,4,5,6,7,41,118,555
7,CANT1053,2,6,7,5,7,4,3,8,4,7,6,8,2,3,4,5,7,5,5,7,7,6,45,118,623
8,Aurizn-AI-COE-bot,2,7,5,4,9,4,4,8,5,6,5,7,3,5,6,6,4,4,6,6,6,6,26,118,733
9,Pelle CT,1,6,7,4,9,5,3,7,4,7,6,6,4,6,5,5,5,5,3,6,6,6,45,116,517
10,Benjamin Britten,3,6,6,4,8,4,5,8,4,5,5,7,5,4,5,5,6,4,4,7,5,6,46,116,602
11,Master Chapman,2,7,8,4,7,5,2,8,4,6,5,6,4,2,5,2,5,6,7,6,8,7,21,116,720
12,Anthony Corbo,3,7,7,4,8,4,3,8,4,6,6,7,1,3,5,5,5,6,7,5,4,6,57,114,580
13,PoTaito,2,6,6,4,9,4,3,9,4,6,6,7,2,3,6,5,5,5,6,6,4,6,39,114,594
14,DanGusto,2,7,5,4,9,4,2,9,5,5,5,8,4,3,5,5,5,4,6,6,6,5,17,114,616
15,Adam Slimming,2,8,6,5,8,4,4,8,5,5,5,7,2,4,5,6,4,4,6,6,4,5,38,113,566
16,Sarah Amadio,3,7,5,4,8,4,4,7,6,5,6,7,2,4,6,5,5,4,5,7,5,4,33,113,579
17,Tamko,1,7,6,4,9,4,3,8,5,6,6,6,2,2,6,5,4,5,6,7,4,6,26,112,661
18,PVAnotC,3,6,6,4,8,4,2,9,5,5,6,7,3,2,5,5,5,4,5,7,5,5,28,111,607
19,Lee Blucher,3,7,6,4,9,4,4,9,4,5,5,7,2,3,6,4,5,4,5,5,5,5,56,111,672
20,Spirit Phoenix,2,6,5,4,7,5,4,8,3,5,7,7,3,4,3,5,5,5,5,6,5,6,31,110,613
21,GinbeysAndTs,2,4,6,4,7,5,2,8,2,7,6,6,3,4,4,5,6,4,6,6,5,6,30,108,591
22,Craig Keogh,2,4,7,5,9,4,5,5,4,5,5,6,3,3,5,5,4,4,6,6,6,5,29,108,732
23,jza_,1,8,6,5,8,4,5,7,7,5,5,6,4,2,5,6,5,5,4,5,4,0,51,107,592
24,Riley Galbraith,2,5,5,4,7,5,4,4,6,5,5,8,2,3,5,6,4,4,0,0,0,0,51,84,517
