RANK,NAME,OPENING ROUND,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 15,ROUND 16,ROUND 17,ROUND 18,ROUND 19,ROUND 20,ROUND 21,ROUND 22,ROUND 22 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,Wonderbread,2,7,5,4,8,5,5,7,6,5,7,6,6,4,6,6,4,4,7,7,6,5,3,7,125,588
2,DemocracyManifestt,2,8,5,5,9,4,5,8,5,6,6,7,5,3,5,5,7,5,4,7,5,6,3,27,125,623
3,Schulta,1,4,7,6,7,4,3,8,6,6,5,6,6,5,6,6,6,6,7,6,5,5,3,2,124,561
4,BenSlimming,3,7,5,4,8,4,4,9,5,6,6,7,2,2,6,5,7,5,6,6,6,8,3,3,124,614
5,George/MikeH,3,8,6,4,9,4,4,9,5,5,6,7,2,4,5,5,4,5,6,7,6,6,3,3,123,561
6,AndyT23,2,8,7,5,8,4,3,7,4,6,7,6,4,5,4,5,6,5,4,5,6,7,4,1,122,556
7,CANT1053,2,6,7,5,7,4,3,8,4,7,6,8,2,3,4,5,7,5,5,7,7,6,4,2,122,625
8,Aurizn-AI-COE-bot,2,7,5,4,9,4,4,8,5,6,5,7,3,5,6,6,4,4,6,6,6,6,3,23,121,756
9,Pelle CT,1,6,7,4,9,5,3,7,4,7,6,6,4,6,5,5,5,5,3,6,6,6,4,3,120,520
10,Master Chapman,2,7,8,4,7,5,2,8,4,6,5,6,4,2,5,2,5,6,7,6,8,7,4,17,120,737
11,Benjamin Britten,3,6,6,4,8,4,5,8,4,5,5,7,5,4,5,5,6,4,4,7,5,6,3,2,119,604
12,Anthony Corbo,3,7,7,4,8,4,3,8,4,6,6,7,1,3,5,5,5,6,7,5,4,6,3,9,117,589
13,PoTaito,2,6,6,4,9,4,3,9,4,6,6,7,2,3,6,5,5,5,6,6,4,6,3,12,117,606
14,DanGusto,2,7,5,4,9,4,2,9,5,5,5,8,4,3,5,5,5,4,6,6,6,5,3,7,117,623
15,Adam Slimming,2,8,6,5,8,4,4,8,5,5,5,7,2,4,5,6,4,4,6,6,4,5,3,12,116,578
16,Sarah Amadio,3,7,5,4,8,4,4,7,6,5,6,7,2,4,6,5,5,4,5,7,5,4,3,15,116,594
17,Tamko,1,7,6,4,9,4,3,8,5,6,6,6,2,2,6,5,4,5,6,7,4,6,4,39,116,700
18,PVAnotC,3,6,6,4,8,4,2,9,5,5,6,7,3,2,5,5,5,4,5,7,5,5,3,31,114,638
19,Spirit Phoenix,2,6,5,4,7,5,4,8,3,5,7,7,3,4,3,5,5,5,5,6,5,6,4,27,114,640
20,Lee Blucher,3,7,6,4,9,4,4,9,4,5,5,7,2,3,6,4,5,4,5,5,5,5,3,6,114,678
21,jza_,1,8,6,5,8,4,5,7,7,5,5,6,4,2,5,6,5,5,4,5,4,0,6,7,113,599
22,GinbeysAndTs,2,4,6,4,7,5,2,8,2,7,6,6,3,4,4,5,6,4,6,6,5,6,4,21,112,612
23,Craig Keogh,2,4,7,5,9,4,5,5,4,5,5,6,3,3,5,5,4,4,6,6,6,5,4,15,112,747
24,Riley Galbraith,2,5,5,4,7,5,4,4,6,5,5,8,2,3,5,6,4,4,0,0,0,0,0,3,84,520
