RANK,NAME,OPENING ROUND,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 15,ROUND 16,ROUND 17,ROUND 18,ROUND 19,ROUND 20,ROUND 21,ROUND 22,ROUND 23,ROUND 23 MARGIN,TOTAL SCORE,TOTAL MARGIN
1,Schulta,1,4,7,6,7,4,3,8,6,6,5,6,6,5,6,6,6,6,7,6,5,5,3,6,19,130,580
2,Wonderbread,2,7,5,4,8,5,5,7,6,5,7,6,6,4,6,6,4,4,7,7,6,5,3,5,27,130,615
3,DemocracyManifestt,2,8,5,5,9,4,5,8,5,6,6,7,5,3,5,5,7,5,4,7,5,6,3,5,43,130,666
4,BenSlimming,3,7,5,4,8,4,4,9,5,6,6,7,2,2,6,5,7,5,6,6,6,8,3,5,31,129,645
5,George/MikeH,3,8,6,4,9,4,4,9,5,5,6,7,2,4,5,5,4,5,6,7,6,6,3,5,33,128,594
6,CANT1053,2,6,7,5,7,4,3,8,4,7,6,8,2,3,4,5,7,5,5,7,7,6,4,5,43,127,668
7,Pelle CT,1,6,7,4,9,5,3,7,4,7,6,6,4,6,5,5,5,5,3,6,6,6,4,6,33,126,553
8,AndyT23,2,8,7,5,8,4,3,7,4,6,7,6,4,5,4,5,6,5,4,5,6,7,4,4,45,126,601
9,Aurizn-AI-COE-bot,2,7,5,4,9,4,4,8,5,6,5,7,3,5,6,6,4,4,6,6,6,6,3,5,14,126,770
10,Master Chapman,2,7,8,4,7,5,2,8,4,6,5,6,4,2,5,2,5,6,7,6,8,7,4,4,59,124,796
11,Benjamin Britten,3,6,6,4,8,4,5,8,4,5,5,7,5,4,5,5,6,4,4,7,5,6,3,4,42,123,646
12,Adam Slimming,2,8,6,5,8,4,4,8,5,5,5,7,2,4,5,6,4,4,6,6,4,5,3,6,42,122,620
13,PoTaito,2,6,6,4,9,4,3,9,4,6,6,7,2,3,6,5,5,5,6,6,4,6,3,5,28,122,634
14,Anthony Corbo,3,7,7,4,8,4,3,8,4,6,6,7,1,3,5,5,5,6,7,5,4,6,3,5,45,122,634
15,DanGusto,2,7,5,4,9,4,2,9,5,5,5,8,4,3,5,5,5,4,6,6,6,5,3,5,18,122,641
16,Sarah Amadio,3,7,5,4,8,4,4,7,6,5,6,7,2,4,6,5,5,4,5,7,5,4,3,5,26,121,620
17,Tamko,1,7,6,4,9,4,3,8,5,6,6,6,2,2,6,5,4,5,6,7,4,6,4,5,7,121,707
18,PVAnotC,3,6,6,4,8,4,2,9,5,5,6,7,3,2,5,5,5,4,5,7,5,5,3,5,38,119,676
19,Lee Blucher,3,7,6,4,9,4,4,9,4,5,5,7,2,3,6,4,5,4,5,5,5,5,3,5,25,119,703
20,jza_,1,8,6,5,8,4,5,7,7,5,5,6,4,2,5,6,5,5,4,5,4,0,6,5,29,118,628
21,Craig Keogh,2,4,7,5,9,4,5,5,4,5,5,6,3,3,5,5,4,4,6,6,6,5,4,6,7,118,754
22,GinbeysAndTs,2,4,6,4,7,5,2,8,2,7,6,6,3,4,4,5,6,4,6,6,5,6,4,5,27,117,639
23,Spirit Phoenix,2,6,5,4,7,5,4,8,3,5,7,7,3,4,3,5,5,5,5,6,5,6,4,3,44,117,684
24,Riley Galbraith,2,5,5,4,7,5,4,4,6,5,5,8,2,3,5,6,4,4,0,0,0,0,0,0,39,84,559
